workerid,cause,trial
849,83,4
850,72,10
850,60,2
850,100,3
850,100,5
850,100,14
850,100,16
850,82,17
850,100,9
850,63,4
850,90,11
850,21,1
850,100,15
850,91,6
850,100,13
850,100,8
850,41,12
850,53,18
850,76,7
851,71,11
851,78,13
851,3,16
851,2,18
851,1,12
851,89,3
851,2,17
851,86,4
851,85,6
851,89,5
851,87,14
851,1,10
851,82,9
851,0,2
851,1,15
851,88,8
851,1,7
851,0,1
852,96,5
852,94,11
852,96,15
852,97,10
852,97,14
852,96,17
852,52,7
852,95,12
852,95,9
852,54,18
852,95,16
852,6,2
852,97,3
852,98,8
852,3,1
852,62,4
852,99,13
852,96,6
853,0,18
853,98,13
853,100,3
853,100,4
853,100,5
853,100,2
853,0,9
853,100,14
853,0,17
853,0,16
853,0,10
853,0,1
853,100,11
853,100,8
853,100,6
853,0,7
853,0,12
853,100,15
854,85,7
854,89,2
854,52,8
854,51,18
854,89,1
854,52,10
854,88,14
854,92,3
854,89,17
854,98,16
854,91,13
854,88,5
854,86,11
854,50,12
854,88,15
854,90,6
854,84,4
854,92,9
855,0,2
855,0,10
855,0,16
855,100,5
855,100,9
855,100,11
855,0,18
855,100,8
855,0,12
855,100,3
855,0,17
855,0,1
855,100,13
855,0,7
855,0,15
855,100,14
855,100,4
855,100,6
856,44,9
856,58,14
856,13,18
856,44,1
856,75,13
856,62,8
856,21,12
856,10,5
856,22,11
856,45,17
856,21,4
856,50,6
856,3,15
856,3,16
856,3,2
856,2,7
856,2,3
856,1,10
858,39,12
858,93,14
858,98,13
858,13,17
858,21,18
858,56,16
858,4,2
858,100,6
858,100,3
858,100,8
858,97,5
858,34,10
858,82,9
858,100,11
858,57,7
858,11,1
858,66,4
858,80,15
859,59,
859,73,7
859,26,2
859,15,10
859,80,3
859,0,1
859,84,6
859,12,12
859,80,14
859,59,4
859,90,8
859,77,16
859,83,9
859,76,13
859,7,18
859,94,15
859,94,5
859,12,17
860,100,2
860,100,16
860,75,7
860,100,13
860,100,9
860,100,11
860,51,18
860,100,4
860,50,1
860,100,3
860,53,12
860,99,8
860,100,14
860,49,17
860,100,5
860,100,6
860,100,15
860,52,10
861,1,10
861,100,6
861,100,14
861,0,18
861,0,12
861,100,13
861,76,15
861,9,7
861,0,2
861,89,9
861,13,16
861,100,3
861,9,17
861,0,1
861,95,4
861,100,5
861,100,8
861,100,11
862,68,
862,90,14
862,45,12
862,78,9
862,82,10
862,81,1
862,75,6
862,96,15
862,49,17
862,76,4
862,89,5
862,58,8
862,66,2
862,56,7
862,49,18
862,71,11
862,79,3
862,96,13
863,98,
863,91,15
863,93,2
863,99,13
863,50,10
863,25,7
863,98,5
863,98,4
863,80,9
863,98,8
863,92,6
863,99,16
863,4,1
863,97,3
863,12,12
863,3,18
863,98,14
863,5,17
864,26,
864,25,17
864,63,16
864,17,12
864,75,6
864,4,1
864,78,4
864,15,10
864,16,2
864,86,15
864,83,13
864,82,5
864,78,11
864,78,8
864,20,7
864,60,9
864,84,14
864,4,18
865,47,
865,67,4
865,27,12
865,79,16
865,100,5
865,100,14
865,100,11
865,100,8
865,0,18
865,0,1
865,61,15
865,71,13
865,80,6
865,10,2
865,87,9
865,9,7
865,100,3
865,51,10
866,3,10
866,96,4
866,95,17
866,96,1
866,99,18
866,96,14
866,97,2
866,97,9
866,98,6
866,97,8
866,94,5
866,94,11
866,97,15
866,96,13
866,93,3
866,95,16
866,92,7
866,98,12
867,100,13
867,50,12
867,51,15
867,86,16
867,100,3
867,0,2
867,100,4
867,0,1
867,50,10
867,100,9
867,0,7
867,49,18
867,50,17
867,100,11
867,100,6
867,100,14
867,100,8
867,100,5
868,51,2
868,97,13
868,99,8
868,53,16
868,91,5
868,99,14
868,47,17
868,10,12
868,100,3
868,97,9
868,7,7
868,98,11
868,3,10
868,100,4
868,95,6
868,2,1
868,8,18
868,52,15
869,23,13
869,67,9
869,78,5
869,51,12
869,55,11
869,57,18
869,53,17
869,55,8
869,61,7
869,55,3
869,74,15
869,28,10
869,31,14
869,51,6
869,43,4
869,45,1
869,42,2
869,48,16
870,100,6
870,0,1
870,0,18
870,100,14
870,100,9
870,100,4
870,0,7
870,100,5
870,100,11
870,49,10
870,49,15
870,100,3
870,49,12
870,79,16
870,85,13
870,0,17
870,0,2
870,100,8
871,100,5
871,46,12
871,97,4
871,98,14
871,97,16
871,92,8
871,44,7
871,99,13
871,89,6
871,47,18
871,48,10
871,87,11
871,30,17
871,85,15
871,71,9
871,61,3
871,13,2
871,9,1
872,9,1
872,98,11
872,99,6
872,100,16
872,1,18
872,50,15
872,1,12
872,98,8
872,1,10
872,90,4
872,0,17
872,99,13
872,99,5
872,98,3
872,37,9
872,1,2
872,99,14
872,1,7
873,79,13
873,98,9
873,100,3
873,90,18
873,98,6
873,47,17
873,100,16
873,49,10
873,100,11
873,1,7
873,0,1
873,100,5
873,50,12
873,97,4
873,99,14
873,0,2
873,98,8
873,100,15
874,73,9
874,91,5
874,86,16
874,0,18
874,79,13
874,83,8
874,0,12
