workerid,hyp,trial
986,45,3
986,43,15
986,49,2
986,45,17
986,43,10
986,40,11
986,41,12
986,50,8
986,49,16
986,50,1
986,55,6
999,72,3
999,49,11
999,52,4
999,52,1
999,30,8
999,36,14
999,45,5
999,39,15
999,38,2
999,34,17
999,34,16
999,91,18
999,46,7
999,37,13
999,34,6
999,34,10
999,40,12
999,42,9
957,44,12
957,47,17
957,59,13
957,60,9
957,44,10
957,49,15
957,58,3
957,80,2
957,48,1
957,57,8
957,50,5
957,57,6
957,59,16
957,53,4
957,48,11
957,57,18
957,74,14
957,88,7
954,59,4
954,71,7
954,53,15
954,57,9
954,42,13
954,59,6
954,41,11
954,40,3
954,40,16
954,50,10
954,44,2
954,53,17
954,45,8
954,45,1
954,45,5
954,98,18
954,56,14
954,37,12
955,39,4
955,36,3
955,30,17
955,60,14
955,43,15
955,60,1
955,29,2
955,49,7
955,36,13
955,36,12
955,24,18
955,49,16
955,39,8
955,61,11
955,38,5
955,36,6
955,31,10
955,34,9
982,59,5
982,49,3
982,49,17
982,75,9
982,61,10
982,100,18
982,60,11
982,60,14
982,75,8
982,35,13
982,69,12
982,29,1
982,68,2
982,67,16
982,61,6
982,38,7
982,30,15
982,60,4
945,48,14
945,46,2
945,47,12
945,48,16
945,47,11
945,48,7
945,49,10
945,48,13
945,49,9
945,47,15
945,47,6
945,49,3
945,49,4
945,47,5
945,48,17
945,48,1
945,49,8
945,99,18
962,52,
962,51,12
962,50,3
962,49,7
962,48,15
962,52,8
962,64,2
962,83,11
962,63,13
962,57,1
962,48,5
962,77,9
962,79,17
962,66,14
962,73,4
962,81,16
962,46,18
962,38,10
943,50,
943,67,7
943,76,1
943,54,6
943,32,16
943,51,12
943,44,3
943,68,4
943,22,11
943,64,13
943,64,8
943,30,5
943,71,10
943,62,2
943,26,9
943,71,15
943,100,18
943,65,17
979,51,15
979,48,4
979,99,18
979,47,10
979,50,6
979,50,1
979,49,9
979,48,8
979,49,14
979,46,11
979,48,16
979,46,17
979,49,7
979,47,3
979,50,12
979,51,2
979,44,13
979,46,5
967,51,6
967,52,4
967,51,7
967,54,8
967,49,10
967,51,2
967,54,13
967,51,16
967,52,11
967,49,17
967,47,3
967,50,15
967,48,9
967,50,12
967,49,1
967,52,18
967,48,5
967,50,14
994,49,5
994,49,11
994,50,15
994,50,2
994,50,12
994,50,17
994,50,6
994,49,1
994,100,18
994,49,13
994,50,8
994,49,4
994,50,16
994,50,3
994,50,10
994,50,7
994,50,9
994,50,14
981,78,11
981,50,12
981,49,1
981,48,9
981,48,4
981,51,17
981,71,14
981,47,3
981,50,15
981,49,7
981,20,8
981,36,6
981,37,2
981,48,13
981,47,18
981,51,5
981,47,10
981,49,16
997,50,15
997,100,18
997,50,9
997,51,14
997,50,1
997,50,6
997,50,4
997,50,2
997,51,5
997,51,11
997,50,16
997,50,12
997,50,3
997,50,10
997,50,8
997,50,7
997,51,13
997,50,17
974,99,
974,98,15
974,100,13
974,98,18
974,99,12
974,52,6
974,51,1
974,3,10
974,49,5
974,49,7
974,48,4
974,1,2
974,98,11
974,48,17
974,51,3
974,50,16
974,50,9
974,49,14
991,60,15
991,53,6
991,65,17
991,45,9
991,63,16
991,50,2
991,56,3
991,14,4
991,69,14
991,40,10
991,80,12
991,37,8
991,88,11
991,50,7
991,70,13
991,52,5
991,85,1
991,58,18
993,43,
993,41,6
993,43,11
993,47,16
993,49,17
993,49,13
993,28,9
993,47,2
993,68,8
993,63,18
993,21,4
993,56,14
993,47,3
993,62,12
993,65,15
993,25,1
993,72,5
993,73,10
960,49,15
960,48,10
960,49,2
960,56,11
960,48,13
960,64,17
960,61,7
960,48,4
960,45,6
960,39,8
960,47,16
960,41,3
960,100,18
960,50,9
960,46,14
960,48,12
960,48,1
960,55,5
973,0,
973,100,11
973,0,12
973,100,18
973,7,5
973,6,13
973,27,1
973,59,8
973,57,4
973,75,15
973,75,10
973,100,14
973,55,2
973,40,6
973,100,9
973,63,17
973,92,7
973,75,16
947,69,4
947,50,16
947,61,10
947,66,11
947,51,5
947,56,8
947,99,18
947,44,15
947,49,1
947,58,14
947,55,13
947,58,9
947,52,2
947,50,12
947,52,6
947,53,3
947,54,7
947,55,17
952,51,
952,49,
952,51,
952,50,5
952,49,1
952,48,2
952,48,15
952,99,16
952,50,6
952,47,8
952,50,17
952,48,10
952,47,14
952,45,9
952,47,3
952,51,18
952,49,11
952,50,12
998,49,
998,48,6
998,48,2
998,50,5
998,49,11
998,48,10
998,48,1
998,48,9
998,49,3
998,48,16
998,48,15
998,48,8
998,47,4
998,46,12
998,45,7
998,47,18
998,48,13
998,49,14
950,48,1
950,100,18
950,48,4
950,72,11
950,79,7
950,67,8
950,26,15
950,38,9
950,88,12
950,45,10
950,66,14
950,62,2
950,37,17
950,53,5
950,42,3
950,84,6
950,50,13
950,48,16
996,16,17
996,64,12
996,32,16
996,37,15
996,67,2
996,39,10
996,57,8
996,61,1
996,58,6
996,59,3
996,51,11
996,98,18
996,39,4
996,46,7
996,36,5
996,34,13
996,31,9
996,40,14
966,98,13
966,98,4
966,76,11
966,88,6
966,51,5
966,90,17
966,55,2
966,54,1
966,49,14
966,64,3
966,58,12
966,63,15
966,25,7
966,62,9
966,100,18
966,46,16
966,45,10
966,48,8
959,76,
959,66,7
959,40,9
959,84,4
959,23,3
959,88,16
959,28,10
959,35,5
959,15,17
959,50,6
959,33,15
959,66,2
959,74,11
959,29,14
959,71,12
959,100,18
959,36,1
959,21,13
958,50,13
958,51,17
958,55,6
958,58,16
958,61,2
958,56,12
958,60,15
958,100,18
958,68,11
958,62,8
958,58,10
958,61,3
958,64,5
958,43,14
958,64,1
958,59,9
958,55,7
958,61,4
956,48,17
956,49,10
956,49,7
956,50,2
956,60,13
956,42,6
956,49,14
956,41,4
956,49,9
956,50,16
956,41,12
956,58,1
956,59,3
956,54,15
956,41,8
956,49,5
956,99,18
956,50,11
944,58,2
944,48,16
944,50,6
944,45,17
944,48,12
944,50,13
944,49,10
944,47,3
944,51,15
944,49,14
944,100,18
944,58,1
944,51,11
944,54,9
944,55,7
944,51,4
944,49,5
944,53,8
990,49,16
990,48,7
990,47,14
990,39,12
990,27,9
990,47,15
990,32,2
990,52,13
990,31,4
990,65,3
990,48,8
990,98,18
990,46,10
990,47,1
990,52,17
990,49,11
990,48,5
990,43,6
978,49,2
978,46,8
978,60,17
978,49,10
978,63,11
978,50,4
978,25,12
978,75,9
978,55,6
978,26,18
978,35,15
978,49,5
978,77,16
978,46,1
978,72,14
978,49,3
978,84,7
978,37,13
946,48,
946,52,12
946,0,8
946,62,5
946,25,7
946,83,6
946,12,4
946,0,11
946,100,10
946,24,1
946,100,18
946,0,14
946,0,16
946,0,2
946,100,17
946,60,15
946,0,13
946,0,9
961,98,
961,79,3
961,100,9
961,99,13
961,55,1
961,80,10
961,87,2
961,54,4
961,17,12
961,47,14
961,63,7
961,44,15
961,99,18
961,62,17
961,72,8
961,51,16
961,68,11
961,46,5
995,50,
995,49,12
995,98,14
995,44,10
995,50,13
995,98,18
995,49,5
995,50,8
995,48,3
995,56,2
995,41,9
995,38,1
995,44,15
995,49,6
995,46,17
995,46,11
995,42,7
995,47,16
948,58,15
948,66,5
948,69,16
948,98,7
948,77,14
948,51,10
948,98,18
948,52,4
948,53,1
948,51,8
948,50,12
948,98,11
948,50,3
948,49,17
948,50,2
948,61,13
948,71,9
948,70,6
949,51,
949,49,2
949,43,8
949,54,9
949,50,3
949,38,5
949,51,18
949,36,11
949,34,17
949,57,13
949,59,1
949,60,14
949,31,4
949,39,12
949,16,15
949,72,16
949,24,10
949,39,6
970,75,14
970,70,7
970,39,3
970,58,2
970,39,11
970,53,8
970,100,18
970,57,13
970,68,6
970,46,1
970,64,12
970,61,5
970,63,9
970,20,16
970,17,17
970,56,10
970,65,4
970,20,15
984,52,
984,98,11
984,65,8
984,96,13
984,98,15
984,33,10
984,86,2
984,100,17
984,17,5
984,49,4
984,10,1
984,11,12
984,92,6
984,53,7
984,49,9
984,31,18
984,59,16
984,62,3
980,21,17
980,81,8
980,64,12
980,67,14
980,34,13
980,54,4
980,60,6
980,56,11
980,33,9
980,34,16
980,65,18
980,50,10
980,68,1
980,40,2
980,68,7
980,21,5
980,12,15
980,67,3
965,48,
965,48,4
965,50,17
965,48,9
965,49,6
965,49,15
965,51,3
965,47,8
965,48,12
965,52,16
